x,y
292.0,67.0
297.0,67.0
300.0,68.0
304.0,68.0
309.0,68.0
313.0,67.0
330.0,67.0
335.0,67.0
339.0,67.0
356.0,67.0
360.0,67.0
365.0,67.0
374.0,67.0
378.0,67.0
378.0,67.0
395.0,67.0
399.0,67.0
404.0,67.0
407.0,67.0
412.0,67.0
428.0,67.0
432.0,67.0
437.0,67.0
442.0,67.0
445.0,67.0
449.0,67.0
454.0,67.0
458.0,67.0
463.0,67.0
480.0,67.0
484.0,67.0
487.0,67.0
488.0,67.0
493.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
495.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
494.0,67.0
493.0,67.0
493.0,67.0
491.0,67.0
491.0,67.0
489.0,67.0
488.0,67.0
482.0,68.0
480.0,69.0
477.0,68.0
